fen_index,config,fen,move,stockfish_best,best_eval_cp,played_eval_cp,cp_loss,classification
9,blend_35,2N5/p3k3/4P2p/4r3/8/8/n5P1/5RK1 b - - 0 1,e7e6,e7e6,4,4,0,ok
10,submitted_v1,8/8/1N2k3/1p2n3/4K3/8/1P6/8 w - - 0 1,e4d4,b6d5,1,0,1,ok
10,search_only,8/8/1N2k3/1p2n3/4K3/8/1P6/8 w - - 0 1,e4d4,b6d5,1,0,1,ok
10,blend_15,8/8/1N2k3/1p2n3/4K3/8/1P6/8 w - - 0 1,e4d4,b6d5,1,0,1,ok
10,blend_25,8/8/1N2k3/1p2n3/4K3/8/1P6/8 w - - 0 1,e4d4,b6d5,1,0,1,ok
10,blend_35,8/8/1N2k3/1p2n3/4K3/8/1P6/8 w - - 0 1,e4d4,b6d5,1,0,1,ok
11,submitted_v1,8/2R5/4k1p1/p4r2/2K2P1p/P5PP/8/8 w - - 0 1,c7c6,c7c6,15,4,11,ok
11,search_only,8/2R5/4k1p1/p4r2/2K2P1p/P5PP/8/8 w - - 0 1,c7c6,c7c6,15,4,11,ok
11,blend_15,8/2R5/4k1p1/p4r2/2K2P1p/P5PP/8/8 w - - 0 1,c7c6,c7c6,15,4,11,ok
11,blend_25,8/2R5/4k1p1/p4r2/2K2P1p/P5PP/8/8 w - - 0 1,c7c6,c7c6,15,4,11,ok
11,blend_35,8/2R5/4k1p1/p4r2/2K2P1p/P5PP/8/8 w - - 0 1,c7c6,c7c6,15,4,11,ok
12,submitted_v1,3R4/1r4k1/8/P7/2P1K2p/8/8/8 w - - 0 1,a5a6,d8d5,140,1,139,mistake
12,search_only,3R4/1r4k1/8/P7/2P1K2p/8/8/8 w - - 0 1,a5a6,d8d5,140,1,139,mistake
12,blend_15,3R4/1r4k1/8/P7/2P1K2p/8/8/8 w - - 0 1,a5a6,d8d5,140,1,139,mistake
12,blend_25,3R4/1r4k1/8/P7/2P1K2p/8/8/8 w - - 0 1,a5a6,d8d5,140,1,139,mistake
12,blend_35,3R4/1r4k1/8/P7/2P1K2p/8/8/8 w - - 0 1,a5a6,d8d5,140,1,139,mistake
